path,mime_type,hash_sha256,size_bytes,created_time,modified_time,accessed_time,exif_tags
"C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\DMSans-Italic-VariableFont_opsz,wght.ttf",unknown,5588da020ed9f3c335259664d35e5dc61a4943521ae6a2d79e403b0520c5dba3,283524,2025-10-17T16:29:44,2025-10-24T16:40:27.537043,2025-10-24T16:40:33.964733,[]
"C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\DMSans-VariableFont_opsz,wght.ttf",unknown,dd1563c3bb43e0a5163db0d0dfe3ef4b9cd698ed4166d23ba3031e6eff00e9f5,238984,2025-10-17T16:29:44,2025-10-24T16:40:27.787095,2025-10-24T16:40:33.949130,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\OFL.txt,text/plain,72d8278fffbdae01b669a161ca4a4709d16e80cf681841b0e9ee574e7dc9752f,4482,2025-10-17T16:29:44,2025-10-24T16:40:28.037030,2025-10-24T16:40:28.255779,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\README.txt,text/plain,8a5f1e22aaf519151f26c91d17b6b99ee3f1d89ca25cc88f3c39f850516b0dfc,2266,2025-10-17T16:29:44,2025-10-24T16:40:28.302678,2025-10-24T16:40:29.646403,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\static\DMSans-Bold.ttf,unknown,4bb03c7412f73ed8e176ffda0a6628d48cf91c445978899a27e50fbc50d0eeef,56268,2025-10-17T16:29:44,2025-10-24T16:40:28.552665,2025-10-24T16:40:33.933499,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\static\DMSans-Light.ttf,unknown,3b541e0a8540697e5f2e9cf777e3c7ff2f50c910f52b6a500827255b7e2b560c,56332,2025-10-17T16:29:44,2025-10-24T16:40:28.787045,2025-10-24T16:40:33.917861,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\static\DMSans-Medium.ttf,unknown,03c125149d9b4ee389e5d58bace9943fd8396d5e110c595faedd95a34258bfee,56376,2025-10-17T16:29:44,2025-10-24T16:40:29.021421,2025-10-24T16:40:33.902234,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\static\DMSans-SemiBold.ttf,unknown,ce84c9f4c99731bc602a12197500f2052a43e1c2b4a6a67943e5a1dd565f5972,56336,2025-10-17T16:29:44,2025-10-24T16:40:29.240170,2025-10-24T16:40:33.886604,[]
C:/Users/vgree/Downloads\weather-app-main\assets\fonts\DM_Sans\static\DMSans-SemiBoldItalic.ttf,unknown,b1bfa8d63994e6af4f9cf179df2fa6599e774e3baec14d7936c26cfcfde08e16,61232,2025-10-17T16:29:44,2025-10-24T16:40:29.474549,2025-10-24T16:40:33.870983,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\bg-today-large.svg,image/svg+xml,5a6c5d9d66cba151dc020a11bc9a2731f7ab391d155da5b67f97de83a32d8d19,4934,2025-10-17T16:29:44,2025-10-24T16:40:29.755809,2025-10-24T16:40:29.755809,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\bg-today-small.svg,image/svg+xml,bd0b47a7e1484c9070969f23a7471928d0fca1e0b75abccf9630217b829a0897,4933,2025-10-17T16:29:44,2025-10-24T16:40:29.990176,2025-10-24T16:40:29.990176,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\favicon-32x32.png,image/png,26a7842c67ba2247b7ef27c44e94a98acb7b588933fc3e6c2a5b5220e916ed9f,1063,2025-10-17T16:29:44,2025-10-24T16:40:30.177675,2025-10-24T16:40:30.240153,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-checkmark.svg,image/svg+xml,395834866620da672e4c17173fd6697092f1978e4eecc03b4dc22b2c0990f7f9,320,2025-10-17T16:29:44,2025-10-24T16:40:30.412052,2025-10-24T16:40:30.412052,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-drizzle.webp,image/webp,f7e0c0557342f6b2d55dee5030047304c7647ddf7b891c84467493711bda46b1,3244,2025-10-17T16:29:44,2025-10-24T16:40:30.615171,2025-10-24T16:40:31.792858,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-dropdown.svg,image/svg+xml,3d13582a884df209c56da20cce8173a9444bc8dca97c856532c0ae290cc8921e,323,2025-10-17T16:29:44,2025-10-24T16:40:30.833924,2025-10-24T16:40:30.833924,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-error.svg,image/svg+xml,9b054b47d3bfaa3e47b4d6a7205cdde34d43559f928eaba109a2321aedb2686a,442,2025-10-17T16:29:44,2025-10-24T16:40:31.052673,2025-10-24T16:40:31.052673,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-fog.webp,image/webp,9fc80957fbf899b0ff936de506440ba6acaf7c692188454391a0fcf13ba303ca,5556,2025-10-17T16:29:44,2025-10-24T16:40:31.253940,2025-10-24T16:40:31.745982,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-loading.svg,image/svg+xml,df4605de43cfe62707c31f93129ef4399fded9106ca7bcdb03c5a1f55a7a9062,930,2025-10-17T16:29:44,2025-10-24T16:40:31.477393,2025-10-24T16:40:31.477393,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-overcast.webp,image/webp,9a8268be6b38a98d5c16dd2b0ab9820f501d6968b679816367661a3985b7941e,2172,2025-10-17T16:29:44,2025-10-24T16:40:31.683483,2025-10-24T16:40:33.105354,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-partly-cloudy.webp,image/webp,4a50c292bcd9ec5c22c316f673da466d5d74a2f2349313cee3bfb56fbd10ffb3,3362,2025-10-17T16:29:44,2025-10-24T16:40:31.902241,2025-10-24T16:40:32.339734,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-rain.webp,image/webp,6541d26e8c8d68ecc59f2e0d19e8b55766638d618e225fbd548317f05c2ffc61,3336,2025-10-17T16:29:44,2025-10-24T16:40:32.167882,2025-10-24T16:40:32.370981,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-retry.svg,image/svg+xml,011c77738e3b98ec051c3f5036dad4b4a4fef4e5f3b46ba1dbe6459a99fd88d1,703,2025-10-17T16:29:44,2025-10-24T16:40:32.386607,2025-10-24T16:40:32.386607,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-search.svg,image/svg+xml,6b1206359da0dc3ef8b200aafc76a1d8fbace910a712b438b2e0b644816ad6f6,561,2025-10-17T16:29:44,2025-10-24T16:40:32.605377,2025-10-24T16:40:32.605377,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-snow.webp,image/webp,7ae6e9f7ab1dd6fa0c9b3342de7b504ec72e09b964e34762a0af438f90db5623,3058,2025-10-17T16:29:44,2025-10-24T16:40:32.792879,2025-10-24T16:40:33.074108,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-storm.webp,image/webp,894e9d7338ed2c2086f01354db41bf11403f1264e40f879da706000988919b0f,3140,2025-10-17T16:29:44,2025-10-24T16:40:32.980358,2025-10-24T16:40:33.042858,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-sunny.webp,image/webp,66a4bf517880e2f4f0efc24d3953e657d7298a69c6a661cce72bf0a0ad607eb3,3480,2025-10-17T16:29:44,2025-10-24T16:40:33.199124,2025-10-24T16:40:33.839759,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\icon-units.svg,image/svg+xml,bf5757c57f5ebdb903fc8e3b30711b790a52ac6298f578bee41d977dd2d61017,1592,2025-10-17T16:29:44,2025-10-24T16:40:33.402252,2025-10-24T16:40:33.402252,[]
C:/Users/vgree/Downloads\weather-app-main\assets\images\logo.svg,image/svg+xml,cb4c97bf24bae9da3b3c8825953b22db2eebf9cebfa11c8a77d8c76719e0edd4,6129,2025-10-17T16:29:44,2025-10-24T16:40:33.621003,2025-10-24T16:40:33.621003,[]
C:/Users/vgree/Downloads\weather-app-main\design\api-error-state.jpg,image/jpeg,5b823e840652c77294b191c58a7a2c84a9bab78ef33a48a38e0dfbc6b84c2be7,25409,2025-10-17T16:29:44,2025-10-24T16:40:33.839759,2025-10-24T16:40:34.527251,[]
C:/Users/vgree/Downloads\weather-app-main\design\desktop-design-imperial.jpg,image/jpeg,f898a5a615d2f7a2be7e2bcf7ea31a7d3c072c49a6cad8f5d6c974655e4511c7,89808,2025-10-17T16:29:44,2025-10-24T16:40:34.042867,2025-10-24T16:40:34.480363,[]
C:/Users/vgree/Downloads\weather-app-main\design\desktop-design-metric.jpg,image/jpeg,524bd45bb4f09414d1c1661e5e449a003079087c1fa50250ddf1f155cc8f1970,89099,2025-10-17T16:29:44,2025-10-24T16:40:34.199128,2025-10-24T16:40:34.449129,[]
C:/Users/vgree/Downloads\weather-app-main\design\dropdown-state.jpg,image/jpeg,4f5134e742959286a7340d0465c98f757c5c69262d32aa14ecc6208e2851c811,100719,2025-10-17T16:29:44,2025-10-24T16:40:34.386623,2025-10-24T16:40:34.511622,[]
C:/Users/vgree/Downloads\weather-app-main\design\focus-state.jpg,image/jpeg,b5a64d7f502adc62ffdcbba8110a789ba16787183b6e42eac5a6aae7d88c02fb,102131,2025-10-17T16:29:44,2025-10-24T16:40:34.589763,2025-10-24T16:40:35.089731,[]
C:/Users/vgree/Downloads\weather-app-main\design\hover-state.jpg,image/jpeg,857c274d8564abfd8720e81c885833ddaf229277e2eb26329fe72f4f20994a83,99175,2025-10-17T16:29:44,2025-10-24T16:40:34.777252,2025-10-24T16:40:35.074127,[]
C:/Users/vgree/Downloads\weather-app-main\design\loading-state.jpg,image/jpeg,7c11cccf05cb6a08a89b09d7d214b459e199317724be7e93e5dc67fb16162ccc,58395,2025-10-17T16:29:44,2025-10-24T16:40:34.964736,2025-10-24T16:40:35.042883,[]
C:/Users/vgree/Downloads\weather-app-main\design\mobile-design-imperial.jpg,image/jpeg,c7d5ede63a9f2895b733c30129656818ddc4f20c5d21ec23873f89883adbe932,81454,2025-10-17T16:29:44,2025-10-24T16:40:35.152232,2025-10-24T16:40:36.949134,[]
C:/Users/vgree/Downloads\weather-app-main\design\mobile-design-metric.jpg,image/jpeg,715096e3624bf8b872653a2ee8558c70eb5566330b2cbee86e5935fa626add16,80537,2025-10-17T16:29:44,2025-10-24T16:40:35.339753,2025-10-24T16:40:36.917880,[]
C:/Users/vgree/Downloads\weather-app-main\design\no-results-state.jpg,image/jpeg,84b174d5a7cced90e531845b83decc5f763e9040d2c878471b2c0c1ae295d1a6,28247,2025-10-17T16:29:44,2025-10-24T16:40:35.495984,2025-10-24T16:40:36.902257,[]
C:/Users/vgree/Downloads\weather-app-main\design\search-in-progress-state.jpg,image/jpeg,8a1ee44a9ff48f079bbb7ed1b47f2550eda5daae84e588005906ed4185717f3f,90811,2025-10-17T16:29:44,2025-10-24T16:40:35.667873,2025-10-24T16:40:36.855375,[]
