timestamp,src_ip,anomaly_score,reason
2025-10-28 12:18:02,10.0.70.2,0.0428,high_syns=99
2025-10-28 12:18:02,10.0.70.2,0.0428,high_syns=99
2025-10-28 12:18:02,10.0.70.2,0.0432,high_syns=99
2025-10-28 12:18:02,10.0.70.2,0.0428,high_syns=99
2025-10-28 12:18:02,10.0.70.2,0.0432,high_syns=99
2025-10-28 12:18:03,10.0.70.2,0.0432,high_syns=99
2025-10-28 12:18:03,10.0.70.2,0.0432,high_syns=99
2025-10-28 12:18:03,10.0.70.2,0.0432,high_syns=99
2025-10-28 12:18:03,10.0.70.2,0.0432,high_syns=99
2025-10-28 12:18:04,10.0.70.2,0.0428,high_syns=84
2025-10-28 12:18:04,10.0.70.2,0.0441,high_syns=81
2025-10-28 12:18:06,10.0.70.2,0.0432,high_syns=47
2025-10-28 12:18:06,10.0.70.2,0.0432,high_syns=47
